Employer,City,State,CEI Rating
1-800-FLOWERS.COM Inc.,Jericho,NY,95
2U Inc.,Lanham,MD,55
360 Behavioral Health,Los Angeles,CA,70
3M Co.,St. Paul,MN,100
ABB Inc.,Cary,NC,75
Abbott Laboratories,Abbott Park,IL,90
AbbVie Inc.,North Chicago,IL,100
Abercrombie & Fitch Co.,New Albany,OH,100
Aberdeen Standard Investments,Philadelphia,PA,95
ACA Group,N. Bethesda,MD,90
Academy Sports and Outdoors,Katy,TX,5
Accenture,New York,NY,100
Acosta Group,Jacksonville,FL,40
Adaptive Biotechnologies Corporation,Seattle,WA,55
Adidas North America Inc.,Portland,OR,95
Adobe Inc.,San Jose,CA,95
ADP,Roseland,NJ,85
ADUSA Distribution LLC,Salisbury,NC,80
ADUSA Transportation LLC,Salisbury,NC,80
Advance Auto Parts (Advance Holding),Raleigh,NC,60
Advanced Micro Devices Inc.,Santa Clara,CA,100
Advantage Solutions Inc.,Irvine,CA,70
AECOM,Los Angeles,CA,100
Aegon Asset Management,Cedar Rapids,IA,75
AES Corp. The,Arlington,VA,90
Aflac Incorporated,Columbus,GA,50
Agco,Duluth,GA,0
Agilent Technologies Inc.,Santa Clara,CA,30
AIG,New York,NY,80
Air Liquide US LLC,Houston,TX,95
Air Products & Chemicals Inc.,Allentown,PA,95
Airbnb Inc.,San Francisco,CA,100
Airbus Americas Inc.,Herndon,VA,100
Airlines Reporting Corporation (ARC),Arlington,VA,80
Akamai Technologies Inc.,Cambridge,MA,90
Akerman LLP,Miami,FL,95
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Airlines,Seattle,WA,100
Albemarle Corporation,Charlotte,NC,60
Albertsons Companies Inc.,Boise,ID,45
Alcoa Corp.,Pittsburgh,PA,85
Alcon Inc,Fort Worth,TX,100
Alexander & Baldwin,Honolulu,HI,0
Alight Solutions,Lincolnshire,IL,100
AlixPartners LLP,New York,NY,100
Alleghany Corp.,New York,NY,0
Allen & Overy LLP,New York,NY,100
AllianceBernstein LP,Nashville,TN,100
Alliant Energy Corp.,Madison,WI,100
Allianz Life Insurance Co. of North America,Minneapolis,MN,95
Allstate Insurance Co.,Northbrook,IL,100
Ally Financial Inc.,Detroit,MI,95
Alnylam Pharmaceutical Inc.,Cambridge,MA,90
Alston & Bird LLP,Atlanta,GA,100
Altice USA Inc.,Long Island City,NY,100
Altria Group Inc.,Richmond,VA,100
Amalgamated Bank,New York,NY,100
A-Mark Precious Metals,El Segundo,CA,0
Amazon.com Inc.,Seattle,WA,100
AMC Entertainment Inc.,Leawood,KS,100
AMC Networks,New York,NY,90
Ameren Corp.,St. Louis,MO,75
American Airlines,Fort Worth,TX,100
American Century Investments,Kansas City,MO,55
American Eagle Outfitters Inc.,Pittsburgh,PA,100
American Electric Power Co. Inc.,Columbus,OH,90
American Express Company,New York,NY,100
American Express Global Business Travel,Jersey City,NJ,55
American Family Mutual Insurance Company S.I.,Madison,WI,90
American Financial Group,Cincinnati,OH,35
American Greetings Corp.,Cleveland,OH,100
American Honda Motor Co.,Torrance,CA,90
American Tower Corp.,Boston,MA,95
American Water,Camden,NJ,70
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,100
Amgen Inc.,Thousand Oaks,CA,100
AMN Healthcare Services Inc.,Dallas,TX,95
Amphenol Corp.,Wallingford,CT,5
Amyris Inc.,Emeryville,CA,50
Analog Devices Inc.,Norwood,MA,90
Andersen Corp.,Bayport,MN,95
Andersons Inc. The,Maumee,OH,5
Anheuser-Busch Companies Inc.,St. Louis,MO,70
Anschutz Entertainment Group Inc.,Los Angeles,CA,100
Ansys Inc.,Canonsburg,PA,100
Anthem Inc.,Indianapolis,IN,60
Anywhere Real Estate,Madison,NJ,80
Aon plc,Chicago,IL,100
Apache Corp.,Houston,TX,5
Apollo Global Management Inc.,New York,NY,100
Appian Corporation,McLean,VA,70
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,100
AQR Capital Management LLC,Greenwich,CT,100
Aramark Corp.,Philadelphia,PA,100
Arcadis U.S. Inc.,Highlands Ranch,CO,100
Arch Capital Group Ltd,White Plains,NY,65
Archer Daniels Midland Co.,Chicago,IL,55
Arconic,New York,NY,100
ArentFox Schiff,Washington DC,DC,100
Ares Management LLC,Los Angeles,CA,100
Aristocrat Technologies Inc.,Las Vegas,NV,65
ARKO,Richmond,VA,0
Armstrong Teasdale LLP,St. Louis,MO,80
Arnold & Porter Kaye Scholer LLP,Washington DC,DC,100
Arrrow Electronics,Centennial,CO,85
Arthur J. Gallagher & Co.,Rolling Meadows,IL,100
Arup US Inc.,New York,NY,100
Asbury Automotive Group,Duluth,GA,5
Ascena,Mahwah,NJ,100
Ashland Inc.,Covington,KY,15
AssetMark Financial Holdings Inc.,Concord,Inc,40
Associated Banc-Corp,Greenbay,WI,100
Assurant,New York,NY,100
Astellas Pharma US Inc.,Northbrook,IL,100
AstraZeneca PLC,Wilmington,DE,95
Asurion LLC,Nashville,TN,100
AT&T Inc.,Dallas,TX,100
Atkore International Inc.,Harvey,IL,100
Atlassian,San Francisco,CA,55
Autodesk Inc.,San Rafael,CA,100
Autoliv Inc.,Auburn Hills,MI,5
AutoNation Inc.,Fort Lauderdale,FL,5
Auto-Owners Insurance Group,Lansing,MI,5
AutoZone Inc.,Memphis,TN,65
AvalonBay Communities Inc.,Arlington,VA,100
Avanade Inc.,Seattle,WA,85
Avantor Inc.,Radnor,PA,100
Avaya Inc.,Santa Clara,CA,100
Avery Dennison,Glendale,CA,100
Avient Corporation,Avon Lake,OH,75
Avis Budget Group Inc.,Parsippany,NJ,50
Avita Care Solutions,Plano,TX,100
Avnet Inc.,Pheonix,AZ,100
Avon Products Inc.,Rye,NY,40
Axion Global Inc.,New York,NY,100
BAE Systems Inc.,Falls Church,VA,85
Bain & Co. Inc. / Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,100
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,100
Baker Hughes Inc.,Houston,TX,5
Baker Tilly US LLP,Chicago,IL,85
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,85
Ball Corp.,Westminster,CO,90
Ballard Spahr LLP,Philadelphia,PA,100
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp. The,New York,NY,100
Barclays,New York,NY,90
Barilla America Inc.,Northbrook,IL,100
Barnes & Noble Inc.,New York,NY,70
Barnes & Thornburg LLP,Indianapolis,IN,75
BASF Corp.,Florham Park,NJ,100
Basis Technologies,Chicago,IL,55
Bass Berry & Sims PLC,Nashville,TN,95
Bath & Body Works LLC,Columbus,OH,70
Battelle Energy Alliance (Idaho National Laboratory),Idaho Falls,ID,70
Battelle Memorial Institute,Columbus,OH,100
Baxter International Inc.,Deerfield,IL,60
BAYADA Home Health Care,Pennsauken Township,NJ,45
Bayer U.S. LLC,Whippany,NJ,100
BB OPC LLC,New York,NY,40
BDO USA PC,Chicago,IL,100
Beacon Roofing Supply Inc.,Herndon,VA,0
Beam Suntory,Chicago,IL,100
Becton Dickinson and Co.,Franklin Lakes,NJ,95
Ben & Jerry's Homemade Inc.,South Burlington,VT,100
Benchmark Senior Living LLC,Waltham,MA,20
Berkeley Research Group LLC,Emeryville,CA,100
Berkshire Bank,Boston,MA,90
Berkshire Hathaway,Omaha,NE,0
Berry Appleman & Leiden LLP,Richardson,TX,30
Berry Global Inc.,Evansville,IN,5
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,85
Biogen,Cambridge,MA,100
BioMarin Pharmaceutical Inc.,San Rafael,CA,100
Bioventus Inc.,Durham,NC,50
BJ's Wholesale Club,Westborough,MA,55
Black & Veatch Holding Inc.,Overland Park,KS,55
Black Knight Inc.,Jacksonville,FL,55
BlackLine Inc.,Los Angeles,CA,90
BlackRock,New York,NY,100
Blackstone Inc.,New York,NY,100
Blank Rome LLP,Philadelphia,PA,100
Blend,San Francisco,CA,55
Bloomberg LP,New York,NY,90
Blue Cross & Blue Shield of Rhode Island,Providence,RI,100
Blue Cross and Blue Shield of Louisiana,Baton Rouge,LA,60
Blue Cross Blue Shield Association,Chicago,IL,100
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Massachusetts,Boston,MA,55
Blue Cross Blue Shield of Michigan,Detroit,MI,80
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Durham,NC,55
Blue Shield of California,San Francisco,CA,70
Blue Yonder Inc.,Scottsdale,AZ,50
BlueCross BlueShield of Tennessee,Chattanooga,TN,55
BlueTriton Brands Inc.,Stamford,CT,100
BMC Software Inc.,Houston,TX,90
BMO Financial Corp.,Chicago,IL,55
BNP Paribas,New York,NY,65
Bob Evans Farms Inc.,New Albany,OH,25
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Arlington,VA,100
Boies Schiller Flexner LLP,New York,NY,100
Boise Cascade Holdings LLC,Boise,ID,5
Booking Holdings Inc.,Norwalk,CT,90
Books-A-Million Inc.,Birmingham,AL,25
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,100
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Marlborough,MA,100
Box Inc.,Redwood City,CA,95
BP America Inc.,Houston,TX,95
Bracewell LLP,Houston,TX,85
Bradley Arant Boult Cummings LLP,Birmingham,AL,60
Braze Inc.,New York,NY,100
Bread Financial Holdings Inc.,Columbus,OH,85
Bridge Investment Group Holdings LLC,Sandy,UT,100
Bridgestone Americas Holding Inc.,Nashville,TN,75
Bridgewater Associates LP,Westport,CT,95
Bright Horizons,Newton,MA,70
Brighthouse Financial Inc.,Charlotte,NC,100
Brinker International Inc.,Dallas,TX,55
Bristol Myers Squibb,New York,NY,100
Broadcom Inc.,Irvine,CA,5
Broadridge Financial Solutions Inc.,Lake Success,NY,100
Brooks Sports Inc.,Seattle,WA,100
Brown Advisory,Baltimore,MD,100
Brown and Caldwell,Walnut Creek,CA,95
Brown Brothers Harriman & Co.,New York,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown-Forman Corp.,Louisville,KY,100
Brownstein Hyatt Farber Schreck LLP,Denver,CO,80
Bryan Cave Leighton Paisner LLP,St. Louis,MO,95
Buchalter a Professional Corporation,Los Angeles,CA,85
Buchanan Ingersoll & Rooney PC,Pittsburgh,PA,85
Builders FirstSource Inc.,Dallas,TX,0
Burlington Northern Santa Fe Corp.,Fort Worth,TX,100
Burlington Stores Inc.,Burlington,NJ,100
Burr & Forman LLP,Birmingham,AL,50
C&S Wholesale Grocers Inc.,Keene,NH,100
C.H. Robinson Worldwide,Eden Prairie,MN,70
Cadence Design Systems,San Jose,CA,100
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Inc.,Las Vegas,NV,100
Cahill Gordon & Reindel,New York,NY,35
Caleres,St. Louis,MO,100
Cambia Health Solutions Inc.,Portland,OR,80
Cambridge Associates LLC,Boston,MA,100
Cambridge Trust,Burlington,MA,100
Campbell Soup Company,Camden,NJ,70
Camping World Holdings Inc.,Lincolnshire,IL,5
CannonDesign,New York,NY,95
Capgemini America INC,Chicago,IL,100
Capital Area Services Company LLC (CASCI),Charleston,WV,55
Capital Group Companies Inc. The,Los Angeles,CA,100
Capital Markets Company NV The,New York,NY,100
Capital One Financial Corp.,McLean,VA,100
Capri Holdings Limited,New York,NY,85
Cardinal Health Inc.,Dublin,OH,100
CareFirst Inc.,Baltimore,MD,100
CareSource,Dayton,OH,100
Cargill Inc.,Wayzata,MN,100
Cargo Transporters Inc.,Claremont,NC,100
CarGurus Inc.,Cambridge,MA,100
Caribou Coffee Company Inc.,Minneapolis,MN,60
Carlson Inc.,Minnetonka,MN,100
Carlton Fields P.A.,Tampa,FL,100
Carlyle Group LP The,Washington DC,DC,100
CarMax Inc.,Richmond,VA,75
Carnival Corp.,Miami,FL,100
Carrier Global Corporation,Palm Beach Gardens,FL,100
Carvana,Tempe,AZ,5
Casey's General Stores Inc.,Ankeny,IA,0
Catalent Pharma Solutions,Somerset,NJ,90
Catamorphic Inc. DBA LaunchDarkly,Oakland,CA,85
Caterpillar Inc.,Deerfield,IL,40
CBRE Inc.,Los Angeles,CA,100
CDW Corp.,Vernon Hills,IL,85
Celanese Corp.,Irving,TX,95
Cengage Learning Inc.,Mason,OH,95
Centene Corp.,St. Louis,MO,100
CenterPoint Energy Inc.,Houston,TX,40
Ceridian HCM,Bloomington,MN,90
Cetera Financial Group,El Segundo,CA,65
CF Industries Holdings Inc.,Deerfield,IL,5
CGI,Fairfax,VA,100
Chapman and Cutler LLP,Chicago,IL,100
Charles River Laboratories International,Wilmington,MA,80
Charles Schwab & Co. Inc.,San Francisco,CA,100
Charter Communications,Stamford,CT,80
