Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
A|X Armani Exchange,New York,NY,100
Abbott Laboratories,Abbott Park,IL,100
AbbVie Inc.,North Chicago,IL,100
Abercrombie & Fitch Co.,New Albany,OH,100
Accenture,New York,NY,100
Acer Inc.,Irvine,CA,85
Activis Inc.,Parsippany,NJ,0
Adecco North America LLC,Jacksonville,FL,100
Adidas America,Portland,OR,100
Adobe Systems Inc.,San Jose,CA,100
Advance Auto Parts (Advance Holding),Roanoke,VA,55
Advanced Micro Devices Inc.,Sunnyvale,CA,100
AECOM Technology Corp.,Los Angeles,CA,100
Aeropostale Inc.,New York,NY,100
AES Corp. The,Arlington,VA,100
Aetna Inc.,Hartford,CT,100
AFLAC Inc.,Columbus,GA,85
Agco,Duluth,GA,15
Agilent Technologies Inc.,Santa Clara,CA,90
Ahold USA Inc.,Quincy,MA,55
AIG,New York,NY,90
Air Products & Chemicals Inc.,Allentown,PA,55
AK Steel Holding Corp.,West Chester,OH,0
Akerman LLP,Miami,FL,100
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Air Group Inc.,Seattle,WA,100
Alcatel-Lucent,Murray Hill,NJ,100
Alcoa Inc.,New York,NY,15
Allegheny Energy Inc.,Greensburg,PA,15
Allegheny Technologies Inc.,Pittsburgh,PA,15
Allergan Inc.,Irvine,CA,15
AllianceBernstein,New York,NY,80
Alliant Energy Corp.,Madison,WI,100
Alliant Techsystems Inc.,Arlington,VA,15
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,30
Allstate Corp. The,Northbrook,IL,100
Ally Financial Inc.,Detroit,MI,85
Alpha Natural Resources Inc.,Bristol,VA,15
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,90
Amazon.com Inc.,Seattle,WA,90
AMC Entertainment Inc.,Leawood,KS,100
Ameren Corp.,St. Louis,MO,85
American Airlines,Fort Worth,TX,100
American Eagle Outfitters Inc.,Pittsburgh,PA,100
American Electric Power Co. Inc.,Columbus,OH,85
American Express Co.,New York,NY,100
American Family Insurance Group,Madison,WI,100
American Financial Group,Cincinnati,OH,15
Ameriprise Financial Inc.,Minneapolis,MN,100
Amgen Inc.,Thousand Oaks,CA,100
Anadarko Petroleum,The Woodlands,TX,30
Andersons Inc. The,Maumee,OH,15
Andrews Kurth LLP,Houston,TX,100
Anheuser-Busch Companies Inc.,St. Louis,MO,85
Anixter International Inc.,Glenview,IL,30
AOL,New York,NY,100
Aon Corp.,Chicago,IL,90
Apache Corp.,Houston,TX,15
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,100
Aramark Corp.,Philadelphia,PA,35
Archer Daniels Midland Co.,Decatur,IL,20
Arent Fox LLP,Washington DC,DC,100
Arnold & Porter LLP,Washington DC,DC,100
Arrow Electronics,Englewood,CO,35
Ashland Inc.,Covington,KY,15
Assurant,New York,NY,90
Astellas Pharma US Inc.,Northbrook,IL,85
AstraZeneca PLC,Wilmington,DE,85
AT&T Inc.,Dallas,TX,100
Austin Radiological Assn.,Austin,TX,40
Autoliv Inc.,Auburn Hills,MI,35
Automatic Data Processing Inc.,Roseland,NJ,100
AutoNation Inc.,Fort Lauderdale,FL,40
Auto-Owners Insurance Group,Lansing,MI,35
AutoZone Inc.,Memphis,TN,15
Avaya Inc.,Santa Clara,CA,35
Avery Dennison,Pasadena,CA,15
Avis Budget Group Inc.,Parsippany,NJ,35
Avnet Inc.,Phoenix,AZ,35
Avon Products Inc.,New York,NY,90
AXA,New York,NY,90
B J’s Wholesale Club,Westborough,MA,35
BAE Systems Inc.,Arlington,VA,90
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,90
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,90
Baker Hughes Inc.,Houston,TX,85
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,85
Baldor Electric Co.,Fort Smith,AR,15
Ball Corp.,Broomfield,CO,85
Ballard Spahr LLP,Philadelphia,PA,100
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp. The,New York,NY,100
Barclays,New York,NY,100
Barilla America Inc.,Bannockburn,IL,100
Barnes & Noble Inc.,New York,NY,100
BASF Corp.,Florham Park,NJ,100
Bausch & Lomb Inc.,Rochester,NY,75
Baxter International Inc.,Deerfield,IL,90
Bayer Corp.,Pittsburgh,PA,100
BB&T Corp.,Winston-Salem,NC,85
Becton Dickinson and Co.,Franklin Lakes,NJ,15
Bed Bath & Beyond Inc.,Union,NJ,30
Bemis Co. Inc.,Neenah,WI,30
Berkshire Hathaway Inc.,Omaha,NE,15
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,100
Bingham McCutchen LLP,Boston,MA,100
Biogen Idec Inc.,Cambridge,MA,100
Black & Veatch Corp.,Overland Park,KS,65
BlackRock,New York,NY,100
Bloomin’ Brands Inc.,Tampa,FL,100
Blue Cross & Blue Shield of Rhode Island,Providence,RI,100
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Michigan,Detroit,MI,100
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Chapel Hill,NC,100
BMC HealthNet Plan,Boston,MA,60
BMC Software Inc.,Houston,TX,100
BMO Bankcorp Inc.,Chicago,IL,60
BNP Paribas,New York,NY,90
Bob Evans Farms Inc.,New Albany,OH,45
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,90
Bon-Ton Stores Inc.,York,PA,90
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,15
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Marlborough,MA,100
BP America Inc.,Houston,TX,90
Bracewell & Giuliani,Houston,TX,80
Bridgestone Americas Holding Inc.,Nashville,TN,70
Bright Horizons Family Solutions Inc.,Watertown,MA,100
Brightpoint Inc.,Indianapolis,IN,85
Brinker International Inc.,Dallas,TX,90
Bristol-Myers Squibb Co.,New York,NY,100
Broadcom Corp.,Irvine,CA,60
Broadridge Financial Solutions Inc.,Lake Success,NY,90
Brown Brothers Harriman & Co.,New York,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown Shoe Company Inc.,St. Louis,MO,100
Brown-Forman Corp.,Louisville,KY,100
Bryan Cave LLP,Saint Louis,MO,100
Burger King Corp.,Miami,FL,15
Burlington Northern Santa Fe Corp.,Fort Worth,TX,20
Burlington Store Inc.,Burlington,NJ,60
C&S Wholesale Grocers Inc.,Keene,NH,15
C.H. Robinson Worldwide,Eden Prairie,MN,15
CA Technologies Inc.,Islandia,NY,100
Cablevision Systems Corp.,Bethpage,NY,15
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,100
Calpine Corp.,Houston,TX,40
Cameron International Corp.,Houston,TX,100
Campbell Soup Co.,Camden,NJ,70
Canadian Imperial Bank of Commerce,New York,NY,100
Capgemini U.S. LLC,New York,NY,100
Capital Markets Company NV The,New York,NY,100
Capital One Financial Corp.,McLean,VA,100
Cardinal Health Inc.,Dublin,OH,100
CareFusion Corp.,San Diego,CA,100
Cargill Inc.,Wayzata,MN,100
Caribou Coffee Company Inc.,Minneapolis,MN,15
Carlson Inc.,Minnetonka,MN,100
Carlton Fields Jorden Burt,Tampa,FL,100
CarMax Inc.,Richmond,VA,100
Carnival Corp.,Miami,FL,85
Casey's General Stores Inc.,Ankeny,IA,70
Caterpillar Inc.,Peoria,IL,90
CBRE Inc.,Los Angeles,CA,100
CBS Corp.,New York,NY,75
CC Media Holdings Inc. (Clear Channel),San Antonio,TX,100
CDW Corp.,Vernon Hills,IL,90
Celanese Corp.,Irving,TX,90
Celgene Corp.,Summit,NJ,15
Centene Corp.,St. Louis,MO,75
CenterPoint Energy Inc.,Houston,TX,15
CenturyLink Inc.,Monroe,LA,15
Cerner Corp.,North Kansas City,MO,30
CF Industries Holdings Inc.,Deerfield,IL,15
CH2M HILL Companies Ltd.,Englewood,CO,90
Chadbourne & Parke LLP,New York,NY,90
Chamberlin Edmonds & Associates Inc.,Atlanta,GA,100
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab Corp. The,San Francisco,CA,100
Charter Communications,Stamford,CT,30
Chesapeake Energy Corp.,Oklahoma City,OK,15
Chevron Corp.,San Ramon,CA,90
CHG Healthcare Services Inc.,Salt Lake City,UT,80
Chipotle Mexican Grill Inc.,Denver,CO,55
Choate Hall & Stewart LLP,Boston,MA,100
Choice Hotels International Inc.,Rockville,MD,100
Chrysler Group LLC,Auburn Hills,MI,30
CHS Inc.,Inver Grove Heights,MN,15
Chubb Corp.,Warren,NJ,100
CIGNA Corp.,Bloomfield,CT,90
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,15
Citigroup Inc.,New York,NY,100
Classified Ventures LLC,Chicago,IL,30
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Cleveland-Cliffs Inc.,Cleveland,OH,15
Clifford Chance US LLP,New York,NY,100
Clorox Co.,Oakland,CA,90
CMS Energy Services,Jackson,MI,35
CNA Insurance,Chicago,IL,85
Coach Inc.,New York,NY,100
Coca-Cola Co. The,Atlanta,GA,90
Cognizant Technology Solutions Corp.,Teaneck,NJ,100
Colgate-Palmolive Co.,New York,NY,90
Comcast Corp.,Philadelphia,PA,100
Commercial Inc.,Dallas,TX,100
Commercial Metals,Irving,TX,30
Community Health Systems Inc.,Franklin,TN,15
Compass Bancshares Inc. (BBVA Compass),Birmingham,AL,65
Compass Group USA Inc.,Charlotte,NC,80
Computer Sciences Corp. (CSC),Falls Church,VA,65
Compuware Corp.,Detroit,MI,30
ConAgra Foods Inc.,Omaha,NE,100
ConocoPhillips,Houston,TX,90
Consol Energy Inc.,Canonsburg,PA,15
Consolidated Edison Co.,New York,NY,100
Constellation Brands Inc.,Victor,NY,100
Constellation Energy Group Inc.,Baltimore,MD,100
Convergys Corp.,Cincinnati,OH,80
Con-way Inc.,Ann Arbor,MI,30
Cooley LLP,Palo Alto,CA,100
Cooper Tire & Rubber Co.,Findlay,OH,30
Corbis Corp.,Seattle,WA,55
CoreLogic,Santa Ana,CA,90
Core-Mark Holding Company Inc.,South San Francisco,CA,30
Corning Inc.,Corning,NY,85
Costco Wholesale Corp.,Issaquah,WA,90
Coventry Health Care,Bethesda,MD,15
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,90
Cracker Barrel Old Country Store Inc.,Lebanon,TN,15
Crate and Barrel / CB2,Northbrook,IL,15
Cravath Swaine & Moore LLP,New York,NY,90
Credit Suisse USA Inc.,New York,NY,90
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,100
CSAA Insurance Group,Walnut Creek,CA,100
CSX Corp.,Jacksonville,FL,70
Cummins Inc.,Columbus,IN,100
CUNA Mutual Insurance Group,Madison,WI,50
CVS Health Corp.,Woonsocket,RI,90
Dana Holding Corp.,Maumee,OH,40
Danaher Corp.,Washington DC,DC,60
Darden Restaurants Inc.,Orlando,FL,90
Davis Polk & Wardwell LLP,New York,NY,100
Davis Wright Tremaine LLP,Seattle,WA,100
DaVita Inc.,Denver,CO,15
Day Pitney LLP,Hartford,CT,100
Dean Foods Co.,Dallas,TX,55
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,65
Delhaize America Inc.,Salisbury,NC,100
Dell Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,90
Dentons US LLP,New York,NY,100
Depository Trust & Clearing Corp. The,New York,NY,85
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,30
Diageo North America,Norwalk,CT,100
DICK’s Sporting Goods Inc.,Coraopolis,PA,55
Dickstein Shapiro LLP,Washington DC,DC,100
DigitasLBi,Boston,MA,100
Dillard’s Inc.,Little Rock,AR,30
DIRECTV,El Segundo,CA,90
Discover Financial Services,Riverwoods,IL,90
DISH Network Corp.,Englewood,CO,55
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,15
Dollar General Corp.,Goodlettsville,TN,70
Dollar Thrifty Automotive Group Inc.,Tulsa,OK,30
Dollar Tree Stores Inc.,Chesapeake,VA,85
Dominion Resources Inc.,Richmond,VA,90
Domino’s Pizza Inc.,Ann Arbor,MI,15
Domtar Corp.,Fort Mill,SC,15
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,15
Dow Chemical Co. The,MIdland,MI,70
Dr Pepper Snapple Group Inc.,Plano,TX,70
Drinker Biddle & Reath LLP,Philadelphia,PA,100
DTE Energy Co.,Detroit,MI,35
Duane Morris LLP,Philadelphia,PA,90
Duke Energy Corp.,Charlotte,NC,100
Dun & Bradstreet Corp. The,Short Hills,NJ,90
Dykema Gossett PLLC,Detroit,MI,100
E&J Gallo Winery,Modesto,CA,100
E*TRADE Financial Corp.,New York,NY,55
E. I. du Pont de Nemours and Co. (DuPont),Wilmington,DE,90
EarthLink Inc.,Atlanta,GA,55
Eastern Bank Corp.,Boston,MA,100
Eastman Chemical Co.,Kingsport,TN,15
Eastman Kodak Co.,Rochester,NY,100
eBay Inc.,San Jose,CA,100
Ecolab Inc.,St. Paul,MN,100
Edison International,Rosemead,CA,100
Edwards Wildman Palmer LLP,Boston,MA,100
Electronic Arts Inc.,Redwood City,CA,100
Eli Lilly & Co.,Indianapolis,IN,100
EMC Corp.,Hopkinton,MA,90
EMCOR Group Inc.,Norwalk,CT,85
Emerson Electric Co.,St. Louis,MO,95
Emmis Communications Corporation,Indianapolis,IN,80
Enbridge Energy Partners,Houston,TX,15
Energy Future Holdings Corp.,Dallas,TX,15
Energy Transfer Partners L.P.,Dallas,TX,15
Entergy Corp.,New Orleans,LA,65
