Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
A|X Armani Exchange,New York,NY,85
Abbott Laboratories,Abbott Park,IL,75
AbbVie Inc.,North Chicago,IL,100
Abercrombie & Fitch Co.,New Albany,OH,100
Accenture,New York,NY,100
Acer America Corp.,San Jose,CA,25
Adecco North America LLC,Jacksonville,FL,100
Adidas North America Inc.,Portland,OR,100
Adobe Systems Inc.,San Jose,CA,100
ADT,Boca Raton,FL,50
Advance Auto Parts (Advance Holding),Roanoke,VA,15
Advanced Micro Devices Inc.,Sunnyvale,CA,100
AECOM,Los Angeles,CA,100
A�ropostale Inc.,New York,NY,85
AES Corp. The,Arlington,VA,95
Aetna Inc.,Hartford,CT,100
Aflac Inc.,Columbus,GA,75
Agco,Duluth,GA,95
Agilent Technologies Inc.,Santa Clara,CA,90
Ahold USA Inc.,Quincy,MA,95
AIG,New York,NY,100
Air Products & Chemicals Inc.,Allentown,PA,90
Airbnb Inc.,San Francisco,CA,95
AK Steel Holding Corp.,West Chester,OH,20
Akamai Technologies Inc.,Cambridge,MA,100
Akerman LLP,Miami,FL,100
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Airlines,Seattle,WA,100
Alcoa Inc.,New York,NY,100
Allergan Inc.,Irvine,CA,55
Alliance Data Systems Corp.,Plano,TX,55
Alliance One International,Morrisville,NC,20
AllianceBernstein L.P.,New York,NY,100
Alliant Energy Corp.,Madison,WI,90
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,100
Allstate Insurance Co.,Northbrook,IL,100
Ally Financial Inc.,Detroit,MI,100
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,100
A-Mark Precious Metals,Santa Monica,CA,20
Amazon.com Inc.,Seattle,WA,90
AMC Entertainment Inc.,Leawood,KS,100
Ameren Corp.,St. Louis,MO,100
American Airlines,Fort Worth,TX,100
American Apparel LLC,Los Angeles,CA,100
American Eagle Outfitters Inc.,Pittsburgh,PA,100
American Electric Power Co. Inc.,Columbus,OH,100
American Express Co.,New York,NY,100
American Express Global Business Travel,Jersey City,NJ,100
American Family Insurance Group,Madison,WI,100
American Financial Group,Cincinnati,OH,20
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,100
Amgen Inc.,Thousand Oaks,CA,100
Amphenol Corp.,Wallingford,CT,100
Anadarko Petroleum,The Woodlands,TX,55
Andrews Kurth LLP,Houston,TX,100
Anheuser-Busch Companies Inc.,St. Louis,MO,100
Anixter International Inc.,Glenview,IL,100
Anthem Inc.,Indianapolis,IN,100
AOL,New York,NY,100
Aon Corp.,Chicago,IL,100
Apache Corp.,Houston,TX,35
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,100
Aramark Corp.,Philadelphia,PA,100
Archer Daniels Midland Co.,Decatur,IL,65
Arconic Inc.,New York,NY,65
Arent Fox LLP,Washington DC,DC,100
Armstrong Teasdale LLP,St. Louis,MO,100
Arnold & Porter LLP,Washington DC,DC,100
ARRIS Group,Suwanee,GA,95
Arrow Electronics,Centennial,CO,100
Arup USA Inc.,New York,NY,100
Asbury Automotive Group,Duluth,GA,100
Ashland Inc.,Covington,KY,65
Assurant,New York,NY,100
Astellas Pharma US Inc.,Northbrook,IL,100
AstraZeneca PLC,Wilmington,DE,100
AT&T Inc.,Dallas,TX,100
AthenaHealth Inc.,Watertown,MA,100
Austin Radiological Assn.,Austin,TX,30
Autodesk Inc.,San Rafael,CA,100
AutoNation Inc.,Fort Lauderdale,FL,100
Automatic Data Processing Inc.,Roseland,NJ,100
Auto-Owners Insurance Group,Lansing,MI,20
AutoZone Inc.,Memphis,TN,20
Avaya Inc.,Santa Clara,CA,65
Avery Dennison,Glendale,CA,20
Avis Budget Group Inc.,Parsippany,NJ,95
Avnet Inc.,Phoenix,AZ,100
Avon Products Inc.,New York,NY,85
AXA,New York,NY,100
BJ’s Wholesale Club,Westborough,MA,100
BAE Systems Inc.,Arlington,VA,100
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,100
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,85
Baker Hughes Inc.,Houston,TX,90
Baker Donelson Bearman Caldwell & Berkowitz P.C.,Memphis,TN,100
Baldor Electric Co.,Fort Smith,AR,25
Ball Corp.,Broomfield,CO,100
Ballard Spahr LLP,Philadelphia,PA,95
Bank of America Corp.,Charlotte,NC,75
Bank of New York Mellon Corp.,New York,NY,100
Bank of the West,San Francisco,CA,100
Barclays,New York,NY,100
Baxalta Inc.,Northbrook,IL,100
Barnes & Noble Inc.,New York,NY,100
Barnes & Thornburg LLP,Indianapolis,IN,100
BASF Corp.,Florham Park,NJ,100
Baxter International Inc.,Deerfield,IL,100
Bayer Corp.,Whippany,NJ,100
BB&T Corp.,Winston-Salem,NC,100
Becton Dickinson and Co.,Franklin Lakes,NJ,65
Bed Bath & Beyond Inc.,Union,NJ,30
Ben & Jerry’s Homemade Inc.,South Burlington,VT,100
Berkshire Hathaway Inc.,Omaha,NE,20
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,100
Biogen,Cambridge,MA,100
Black & Veatch Holding Inc.,Overland Park,KS,100
BlackRock,New York,NY,100
Blank Rome LLP,Philadelphia,PA,100
Bloomberg LP,New York,NY,100
Bloomin’ Brands Inc.,Tampa,FL,30
Blue Cross & Blue Shield of Rhode Island,Providence,RI,100
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Massachusetts,Boston,MA,100
Blue Cross Blue Shield of Michigan,Detroit,MI,95
Blue Cross Blue Shield of Minnesota,Eagan,MN,90
Blue Cross Blue Shield of North Carolina,Durham,NC,75
Blue Shield of California,San Francisco,CA,100
BMC HealthNet Plan,Boston,MA,100
BMC Software Inc.,Houston,TX,80
BMO Bankcorp Inc.,Chicago,IL,95
BNP Paribas,New York,NY,100
Bob Evans Farms Inc.,New Albany,OH,65
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,90
Boies Schiller & Flexner LLP,New York,NY,100
Bon-Ton Stores Inc.,York,PA,85
Booz Allen Hamilton Inc.,McLean,VA,100
Borgata Hotel Casino & Spa,Atlantic City,NJ,85
BorgWarner Inc.,Auburn Hills,MI,65
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Marlborough,MA,100
BP America Inc.,Houston,TX,85
Bracewell & Giuliani,Houston,TX,85
Bridgestone Americas Holding Inc.,Nashville,TN,85
Bright Horizons Family Solutions Inc.,Watertown,MA,90
Brinker International Inc.,Dallas,TX,100
Bristol-Myers Squibb Co.,New York,NY,100
Broadcom Corp.,Irvine,CA,90
Broadridge Financial Solutions Inc.,Lake Success,NY,100
Brooks Brothers Group Inc.,New York,NY,80
Brown Brothers Harriman & Co.,New York,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown-Forman Corp.,Louisville,KY,100
Bryan Cave LLP,St. Louis,MO,100
Buchanan Ingersoll & Rooney PC,Pittsburgh,PA,100
Buckeye Partners L.P.,Houston,TX,20
BuckleySandler LLP,Washington DC,DC,100
Burger King Corp.,Miami,FL,100
Burlington Northern Santa Fe Corp.,Fort Worth,TX,90
Burlington Stores Inc.,Burlington,NJ,65
C&S Wholesale Grocers Inc.,Keene,NH,90
C.H. Robinson Worldwide,Eden Prairie,MN,20
CA Technologies Inc.,New York,NY,100
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,100
Caleres,St. Louis,MO,90
Calpine Corp.,Houston,TX,30
Calumet Specialty Products,Indianapolis,IN,0
Cambia Health Solutions Inc.,Portland,OR,90
Campbell Soup Co.,Camden,NJ,85
Canadian Imperial Bank of Commerce,New York,NY,100
Capgemini US LLC,New York,NY,100
Capital Markets Company N.V. The,New York,NY,100
Capital One Financial Corp.,McLean,VA,100
Cardinal Health Inc.,Dublin,OH,100
CareFirst Inc.,Baltimore,MD,100
Cargill Inc.,Wayzata,MN,80
Caribou Coffee Company Inc.,Minneapolis,MN,85
Carlson Inc.,Minnetonka,MN,85
Carlton Fields Jorden Burt,Tampa,FL,100
CarMax Inc.,Richmond,VA,100
Carnival Corp.,Miami,FL,90
Casey’s General Stores Inc.,Ankeny,IA,30
Caterpillar Inc.,Peoria,IL,90
CBRE Inc.,Los Angeles,CA,100
CBS Corp.,New York,NY,100
CDW Corp.,Vernon Hills,IL,100
CEB Inc.,Arlington,VA,80
Celanese Corp.,Irving,TX,90
Colgate-Palmolive Co.,New York,NY,100
Centene Corp.,St. Louis,MO,95
CenterPoint Energy Inc.,Houston,TX,100
CenturyLink Inc.,Monroe,LA,85
Cerner Corp.,North Kansas City,MO,85
CH2M HILL Companies Ltd.,Englewood,CO,100
Chadbourne & Parke LLP,New York,NY,100
Chamblin Edmonds & Associates Inc.,Atlanta,GA,85
Chapman and Cutler LLP,Chicago,IL,85
Charles Schwab & Co. Inc.,San Francisco,CA,100
Charter Communications,Stamford,CT,100
Chesapeake Energy Corp.,Oklahoma City,OK,65
Chevron Corp.,San Ramon,CA,100
CHG Healthcare Services Inc.,Salt Lake City,UT,85
Chipotle Mexican Grill Inc.,Denver,CO,100
Choate Hall & Stewart LLP,Boston,MA,100
Choice Hotels International Inc.,Rockville,MD,85
CHS Inc.,Inver Grove Heights,MN,100
Cigna Corp.,Bloomfield,CT,100
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,100
Citigroup Inc.,New York,NY,100
Citrix Systems Inc.,Fort Lauderdale,FL,100
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Clifford Chance US LLP,New York,NY,100
Clorox Co. The,Oakland,CA,100
CME Group Inc.,Chicago,IL,100
CNA Insurance,Chicago,IL,100
Coach Inc.,New York,NY,100
Coca-Cola Co. The,Atlanta,GA,100
Cognizant Technology Solutions Corp.,Teaneck,NJ,35
Colgate-Palmolive Co.,New York,NY,100
Columbia Pipeline Group,Houston,TX,100
Comcast NBCUniversal,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,100
Commercial Metals,Irving,TX,80
Community Health Systems Inc.,Franklin,TN,20
Compass Bancshares Inc. (BBVA Compass),Birmingham,AL,90
Compass Group USA Inc.,Charlotte,NC,100
Computer Sciences Corp. (CSC),Falls Church,VA,100
ConAgra Foods Inc.,Omaha,NE,100
ConocoPhillips,Houston,TX,80
Consolidated Edison Co.,New York,NY,100
Constellation Brands Inc.,Victor,NY,95
Constellation Energy Group Inc.,Baltimore,MD,100
Consumers Energy,Jackson,MI,95
Convergys Corp.,Cincinnati,OH,100
Con-way Inc.,Ann Arbor,MI,30
Cooley LLP,Palo Alto,CA,100
Cooper Tire & Rubber Co.,Findlay,OH,65
Corbis Corp.,Seattle,WA,95
CoreLogic,Santa Ana,CA,95
Core-Mark Holding Company Inc.,South San Francisco,CA,100
Corning Inc.,Corning,NY,100
Costco Wholesale Corp.,Issaquah,WA,90
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,100
Cracker Barrel Old Country Store Inc.,Lebanon,TN,55
Crane and Barrel,Northbrook,IL,100
Cravath Swaine & Moore LLP,New York,NY,100
Credit Suisse USA Inc.,New York,NY,100
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,100
CSAA Insurance Group,Walnut Creek,CA,100
CST Brands,San Antonio,TX,100
CSX Corp.,Jacksonville,FL,95
Cummins Inc.,Columbus,IN,100
CUNA Mutual Group,Madison,WI,100
CVS Health Corp.,Woonsocket,RI,100
Dana Holding Corp.,Maumee,OH,80
Danaher Corp.,Washington DC,DC,100
Daniel J. Edelman Inc.,New York,NY,100
Darden Restaurants Inc.,Orlando,FL,90
Davis Polk & Wardwell LLP,New York,NY,95
Davis Wright Tremaine LLP,Seattle,WA,100
DaVita Inc.,Denver,CO,75
Day Pitney LLP,Hartford,CT,100
Dean Foods Co.,Dallas,TX,75
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,55
Delek US Holdings,Brentwood,TN,10
Delhaize America Inc.,Salisbury,NC,100
Dell Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,100
Denny’s Corp.,Spartanburg,SC,75
Dentons US LLP,Washington DC,DC,100
Depository Trust & Clearing Corp. The,New York,NY,100
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,65
Diageo North America,Norwalk,CT,85
Dickinson Wright PLLC,Detroit,MI,100
Dick’s Sporting Goods Inc.,Coraopolis,PA,30
Dickstein Shapiro LLP,Washington DC,DC,100
DigitasLBi,Boston,MA,100
Dillard’s Inc.,Little Rock,AR,20
Discover Financial Services,Riverwoods,IL,85
Discovery Communications Inc.,Silver Spring,MD,75
DISH Network Corp.,Englewood,CO,60
DLA Piper,Baltimore,MD,100
Dole Food Co.,Westlake Village,CA,20
Dollar General Corp.,Goodlettsville,TN,20
Dollar Tree Stores Inc.,Chesapeake,VA,70
Dominion Resources Inc.,Richmond,VA,100
Domino’s Pizza Inc.,Ann Arbor,MI,25
Domtar Corp.,Fort Mill,SC,80
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,100
Dow Chemical Co. The,Midland,MI,100
DR Horton Inc.,Fort Worth,TX,20
Dr Pepper Snapple Group Inc.,Plano,TX,55
Drinker Biddle & Reath LLP,Philadelphia,PA,100
Dropbox Inc.,San Francisco,CA,100
DSW,Columbus,OH,80
DTE Energy Co.,Detroit,MI,95
Duane Morris LLP,Philadelphia,PA,100
Duke Energy Corp.,Charlotte,NC,95
Dun & Bradstreet Corp. The,Short Hills,NJ,100
Dykema Gossett PLLC,Detroit,MI,95
E&J Gallo Winery,Modesto,CA,90
E*TRADE Financial Corp.,New York,NY,100
