Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
A|X Armani Exchange,New York,NY,90
Abbott Laboratories,Abbott Park,IL,100
AbbVie Inc.,North Chicago,IL,100
Abercrombie & Fitch Co.,New Albany,OH,100
Accenture,New York,NY,100
Activision Blizzard,Santa Monica,CA,100
Adidas North America Inc.,Portland,OR,100
Adobe Systems Inc.,San Jose,CA,100
ADP,Roseland,NJ,100
Advance Auto Parts (Advance Holding),Raleigh,NC,100
Advanced Micro Devices Inc.,Santa Clara,CA,100
AECOM,Los Angeles,CA,100
Aero Op-Co LLC,Lyndhurst,NJ,85
AES Corp.,Arlington,VA,100
Aflac Inc.,Columbus,GA,70
Agco,Duluth,GA,75
Agilent Technologies Inc.,Santa Clara,CA,100
AIG,New York,NY,100
Air Liquide,Houston,TX,100
Air Products & Chemicals Inc.,Allentown,PA,100
Airbnb Inc.,San Francisco,CA,100
Airbus Americas Inc.,Herndon,VA,100
Airlines Reporting Corporation (ARC),Arlington,VA,100
Akerman LLP,Miami,FL,100
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Airlines,Seattle,WA,90
Albertsons Companies Inc.,Boise,ID,75
Alcoa Corp.,Pittsburgh,PA,90
Alcon Inc.,Fort Worth,TX,90
Alight Solutions,Lincolnshire,IL,100
AliPartners LLP,New York,NY,100
Alleghany Corp.,New York,NY,20
Alliance Data Systems Corp.,Columbus,OH,65
Alliance One International,Morrisville,NC,30
AllianceBernstein L.P.,Nashville,TN,100
Alliant Energy Corp.,Madison,WI,100
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,30
Allstate Insurance Co.,Northbrook,IL,95
Ally Financial Inc.,Detroit,MI,100
Alston & Bird LLP,Atlanta,GA,100
Altice USA Inc.,Long Island City,NY,70
Altria Group Inc.,Richmond,VA,100
Amazon.com Inc.,Seattle,WA,100
AMC Entertainment Inc.,Leawood,KS,100
Ameren Corp.,St. Louis,MO,100
American Airlines,Fort Worth,TX,100
American Apparel LLC,Los Angeles,CA,70
American Axle & Manufacturing,Detroit,MI,20
American Eagle Outfitters Inc.,Pittsburgh,PA,100
American Electric Power Co. Inc.,Columbus,OH,100
American Express Company,New York,NY,100
American Express Global Business Travel,Jersey City,NJ,100
American Family Mutual Insurance Company S.I.,Madison,WI,100
Ashland Inc.,Covington,KY,40
Assurant,New York,NY,100
Astellas Pharma US Inc.,Northbrook,IL,100
AstraZeneca PLC,Wilmington,DE,100
Asurion LLC,Nashville,TN,100
AT&T Inc.,Dallas,TX,100
AthenaHealth Inc.,Watertown,MA,85
Atlassian,San Francisco,CA,100
Autodesk Inc.,San Rafael,CA,100
Autoliv Inc.,Auburn Hills,MI,60
Auto-Owners Insurance Group,Lansing,MI,0
AutoZone Inc.,Memphis,TN,40
Avaya Inc.,Santa Clara,CA,100
Avery Dennison,Glendale,CA,85
Avis Budget Group Inc.,Parsippany,NJ,95
Avnet Inc.,Phoenix,AZ,90
Avon Products Inc.,Rye,NY,100
AXA Equitable Life,New York,NY,100
Axiom Global Inc.,New York,NY,100
BJ's Wholesale Club,Westborough,MA,90
BAE Systems Inc.,Arlington,VA,100
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,90
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,90
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,100
Ball Corp.,Broomfield,CO,90
Ballard Spahr LLP,Philadelphia,PA,100
Bank of America Corp.,Charlotte,NC,75
Bank of New York Mellon Corp. The,New York,NY,100
Bank of the West,San Francisco,CA,100
Barclays,New York,NY,100
Barilla America Inc.,Northbrook,IL,100
Barnes & Noble Inc.,New York,NY,100
Barnes & Thornburg LLP,Indianapolis,IN,100
BASF Corp.,Florham Park,NJ,100
Bass Berry & Sims PLC,Nashville,TN,100
Battelle Energy Alliance (Idaho National Laboratory),Idaho Falls,ID,95
Battelle Memorial Institute Inc.,Columbus,OH,75
Baxter International Inc.,Deerfield,IL,100
Bayer U.S. LLC,Whippany,NJ,100
BB&T Corp.,Winston-Salem,NC,100
BBVA USA,Birmingham,AL,100
Becton Dickinson and Co.,Franklin Lakes,NJ,100
Bed Bath & Beyond Inc.,Union,NJ,100
Ben & Jerry's Homemade Inc.,South Burlington,VT,100
Berry Plastics Group Inc.,Evansville,IN,20
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,90
Biogen,Cambridge,MA,100
Black & Veatch Holding Inc.,Overland Park,KS,95
Black Knight Inc.,Jacksonville,FL,100
BlackRock,New York,NY,100
Blackstone Group LP,New York,NY,100
Blank Rome LLP,Philadelphia,PA,100
Bloomberg LP,New York,NY,100
Bloomin' Brands Inc.,Tampa,FL,90
Blue Cross & Blue Shield of Rhode Island,Providence,RI,100
Blue Cross and Blue Shield of Louisiana,Baton Rouge,LA,100
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Massachusetts,Boston,MA,100
Blue Cross Blue Shield of Michigan,Detroit,MI,85
Blue Cross Blue Shield of Minnesota,Eagan,MN,60
Blue Cross Blue Shield of North Carolina,Durham,NC,45
Blue Shield of California,San Francisco,CA,100
BlueCross BlueShield of Tennessee,Chattanooga,TN,100
BMC Software Inc.,Houston,TX,45
BMO Bankcorp Inc.,Chicago,IL,100
BNP Paribas,New York,NY,90
Bob Evans Farms Inc.,New Albany,OH,60
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,90
Boies Schiller Flexner LLP,New York,NY,100
Books-A-Million Inc.,Birmingham,AL,80
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,65
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Marlborough,MA,100
Box Inc.,Redwood City,CA,100
BP America Inc.,Houston,TX,90
Bracewell LLP,Houston,TX,100
Bridgestone Americas Holding Inc.,Nashville,TN,90
Bridgewater Associates LP,Westport,CT,100
Bright Horizons,Watertown,MA,90
Brinker International,Dallas,TX,100
Bristol-Myers Squibb Co.,New York,NY,100
Broadbridge Financial Solutions Inc.,Lake Success,NY,100
Brooks Brothers Group Inc.,New York,NY,100
Brooks Sports Inc.,Seattle,WA,100
Brown Advisory,Baltimore,MD,100
Brown Brothers Harriman & Co.,New York,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown-Forman Corp.,Louisville,KY,100
Brownstein Hyatt Farber Schreck LLP,Denver,CO,95
Bryan Cave Leighton Paisner LLP,St. Louis,MO,100
Buchanan Ingersoll & Rooney PC,Pittsburgh,PA,100
Buckley LLP,Washington DC,DC,100
Builders FirstSource Inc.,Dallas,TX,20
Burlington Northern Santa Fe Corp.,Fort Worth,TX,80
Burlington Stores Inc.,Burlington,NJ,30
Burr & Forman LLP,Birmingham,AL,100
Buzzfeed,New York,NY,100
C&S Wholesale Grocers Inc.,Keene,NH,90
C.H. Robinson Worldwide,Eden Prairie,MN,20
CA Technologies Inc.,New York,NY,100
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,95
Cahill Gordon & Reindel,New York,NY,100
Caleres,St. Louis,MO,90
Calpine Corp.,Houston,TX,20
Cambia Health Solutions Inc.,Portland,OR,100
Campbell Soup Co.,Camden,NJ,85
Capgemini America  Inc.,Chicago,IL,100
Capital Area Services Company LLC (CASCI),Charleston,WV,100
Capital Group Companies Inc. The,Los Angeles,CA,100
Capital Markets Company NV The,New York,NY,100
Capital One Financial Corp.,McLean,VA,100
Cardinal Health Inc.,Dublin,OH,100
CareFirst Inc.,Baltimore,MD,100
Cargill Inc.,Wayzata,MN,100
Cargo Transporters Inc.,Claremont,NC,100
Caribou Coffee Company Inc.,Minneapolis,MN,45
Carlson Inc.,Minnetonka,MN,100
Carlton Fields P.A.,Tampa,FL,100
Carlyle Group LP The,Washington DC,DC,100
CarMax Inc.,Richmond,VA,100
Carnival Corp.,Miami,FL,100
Casey's General Stores Inc.,Ankeny,IA,40
Caterpillar Inc.,Deerfield,IL,80
CBRE Inc.,Los Angeles,CA,100
CBS Corp.,New York,NY,100
CDW Corp.,Lincolnshire,IL,100
Celanese Corp.,Irving,TX,100
Celgene Corp.,Summit,NJ,100
Cengage Learning Inc.,Boston,MA,90
Centene Corp.,St. Louis,MO,100
CenterPoint Energy Inc.,Houston,TX,20
CenturyLink Inc.,Monroe,LA,100
Cerner Corp.,North Kansas City,MO,100
Change Healthcare,Nashville,TN,100
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab & Co. Inc.,San Francisco,CA,100
Charter Communications,Stamford,CT,70
Chesapeake Energy Corp.,Oklahoma City,OK,80
Chevron Corp.,San Ramon,CA,100
CHG Healthcare Inc.,Midvale,UT,100
Chico's FAS Inc.,Fort Myers,FL,85
Chipotle Mexican Grill Inc.,Newport Beach,CA,75
Choate Hall & Stewart LLP,Boston,MA,100
Chobani,Norwich,NY,100
Choice Hotels International Inc.,Rockville,MD,100
CHS Inc.,Inver Grove Heights,MN,20
Chubb Ltd.,Philadelphia,PA,100
CIBC Bank USA,New York,NY,60
CIGNA Corp.,Bloomfield,CT,100
Cimpress USA Inc.,Waltham,MA,100
Cincinnati Financial Corp.,Fairfield,OH,10
Cintas Corp.,Cincinnati,OH,20
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,100
Citigroup Inc.,New York,NY,100
Citizens Financial Group,Providence,RI,100
Citrix Systems Inc.,Fort Lauderdale,FL,100
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Clifford Chance US LLP,New York,NY,100
Clorox Co. The,Oakland,CA,100
Cloudera Inc.,Palo Alto,CA,70
CME Group Inc.,Chicago,IL,100
CNA Financial Corporation,Chicago,IL,100
CNO Financial Group Inc.,Carmel,IN,85
Coca-Cola Co. The,Atlanta,GA,100
Cognizant Technology Solutions Corp.,Teaneck,NJ,90
Colgate-Palmolive Co.,New York,NY,100
Comcast NBCUniversal,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,70
Community Care Behavioral Health Organization,Pittsburgh,PA,70
Community Health Systems Inc.,Franklin,TN,30
Compass Group USA Inc.,Charlotte,NC,80
Conagra Brands Inc.,Chicago,IL,100
Conduent Inc.,Florham Park,NJ,80
ConocoPhillips,Houston,TX,100
Consolidated Edison Co.,New York,NY,65
Constellation Brands Inc.,Victor,NY,100
CONSUMER REPORTS INC.,Yonkers,NY,75
Consumers Energy,Jackson,MI,75
Convergys Corp.,Cincinnati,OH,100
Cooley LLP,Palo Alto,CA,100
Cooper Tire & Rubber Co.,Findlay,OH,100
CoreLogic,Irvine,CA,100
Core-Mark Holding Company Inc.,Westlake,TX,45
Corning,Corning,NY,90
Corteva Agriscience,Wilmington,DE,100
Cosmopolitan of Las Vegas The,Las Vegas,NV,100
Costco Wholesale Corp.,Issaquah,WA,60
Coty,New York,NY,20
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,100
Cozen O'Connor,Philadelphia,PA,100
Cracker Barrel Old Country Store Inc.,Lebanon,TN,20
Crate and Barrel / CB2,Northbrook,IL,100
Cravath Swaine & Moore LLP,New York,NY,90
Credit Suisse USA Inc.,New York,NY,100
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,20
CSAA Insurance Group,Walnut Creek,CA,100
CSX Corp.,Jacksonville,FL,100
Cummins Inc.,Columbus,IN,100
CUNA Mutual Group,Madison,WI,100
Cushman & Wakefield,Chicago,IL,100
CVS Health Corp.,Woonsocket,RI,90
Daimler Trucks North America LLC,Portland,OR,100
Dana Inc.,Maumee,OH,90
Danaher Corp.,Washington DC,DC,90
Daniel J. Edelman Inc.,New York,NY,90
Danone North America,White Plains,NY,100
Darden Restaurants Inc.,Orlando,FL,100
Davis Polk & Wardwell LLP,New York,NY,95
Davis Wright Tremaine LLP,Seattle,WA,100
Day & Zimmermann LLC,Philadelphia,PA,90
Day Pitney LLP,Parsippany,NJ,100
DCP Midstream Partners,Denver,CO,85
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,90
Delok US Holdings,Brentwood,TN,100
Dell Technologies Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,85
Delta Air Lines Inc.,Atlanta,GA,90
Denny's Corp.,Spartanburg,SC,75
Dentons US LLP,Washington DC,DC,100
Depository Trust & Clearing Corp. The,New York,NY,90
Designer Brands,Columbus,OH,100
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,65
Diageo North America,Norwalk,CT,100
Dickinson Wright PLLC,Detroit,MI,90
Dick's Sporting Goods Inc.,Coraopolis,PA,80
Digitas,Boston,MA,100
Dillard's Inc.,Little Rock,AR,20
Dinsmore & Shohl LLP,Cincinnati,OH,90
Direct Energy,Houston,TX,90
Discover Financial Services,Riverwoods,IL,100
Discovery Communications Inc.,Silver Spring,MD,20
DISH Network Corp.,Englewood,CO,20
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,80
Dollar General Corp.,Goodlettsville,TN,90
Dollar Tree Stores Inc.,Chesapeake,VA,20
Dominion Energy,Richmond,VA,100
Domino's Pizza Inc.,Ann Arbor,MI,65
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,100
Dow,Midland,MI,100
DR Horton Inc.,Arlington,TX,20
Drinker Biddle & Reath LLP,Philadelphia,PA,100
Dropbox Inc.,San Francisco,CA,100
DTE Energy Co.,Detroit,MI,75
Duane Morris LLP,Philadelphia,PA,100
Duke Energy Corp.,Charlotte,NC,100
Dun & Bradstreet Corp. The,Short Hills,NJ,60
Dunkin' Brands Group Inc.,Canton,MA,100
DXC Technology,Tysons,VA,100
Dykema Gossett PLLC,Detroit,MI,100
E&J Gallo Winery,Modesto,CA,100
E*TRADE Financial Corp.,New York,NY,100
