Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
AAA Northern California Nevada & Utah Insurance Exchange,Walnut Creek,CA,100
Abbott Laboratories,Abbott Park,IL,60
Abercrombie & Fitch Co.,New Albany,OH,100
AbitibiBowater Inc.,Greenville,SC,0
Accenture Ltd.,New York,NY,100
Acer Inc.,Irvine,CA,35
Adecco North America LLC,Melville,NY,90
Adobe Systems Inc.,San Jose,CA,90
Advance Auto Parts (Advance Holding),Roanoke,VA,30
Advanced Micro Devices Inc.,Sunnyvale,CA,70
AECOM Technology Corp.,Los Angeles,CA,85
AEGON USA Inc.,Cedar Rapids,IA,20
AES Corp. The,Arlington,VA,15
Aetna Inc.,Hartford,CT,100
Affiliated Computer Services,Dallas,TX,40
AFLAC Inc.,Columbus,GA,30
Agco,Duluth,GA,15
Agilent Technologies Inc.,Santa Clara,CA,75
Ahold USA Inc.,Quincy,MA,55
AIG,New York,NY,85
Air Products & Chemicals Inc.,Allentown,PA,80
Airgas Inc.,Radnor,PA,0
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Air Group Inc.,Seattle,WA,90
Alcoa Inc.,New York,NY,100
Allegheny Energy Inc.,Greensburg,PA,15
Allergan Inc.,Irvine,CA,15
Alliant Energy Corp.,Madison,WI,50
Alliant Techsystems Inc.,Minneapolis,MN,35
Allianz Life Insurance Co. of North America,Minneapolis,MN,60
Allscripts-Misys Health care Solutions Inc.,Chicago,IL,30
Allstate Corp. The,Northbrook,IL,85
Ally Financial Inc.,Detroit,MI,15
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,15
Amazon.com Inc.,Seattle,WA,90
AMC Entertainment Inc.,Kansas City,MO,90
Ameren Corp.,St. Louis,MO,60
American Eagle Outfitters Inc.,Pittsburgh,PA,80
American Electric Power Co. Inc.,Columbus,OH,15
American Express Co.,New York,NY,100
American Family Insurance Group,Madison,WI,55
American Financial Group,Cincinnati,OH,0
Amerigroup Corp.,Virginia Beach,VA,0
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,15
Amgen Inc.,Thousand Oaks,CA,45
AMR Corp. (American Airlines),Fort Worth,TX,100
Anadarko Petroleum,The Woodlands,TX,15
Andrews Kurth LLP,Houston,TX,90
Anheuser-Busch Companies Inc.,St. Louis,MO,90
Anixter International Inc.,Glenview,IL,30
Aon Corp.,Chicago,IL,100
Apache Corp.,Houston,TX,30
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,85
Aramark Corp.,Philadelphia,PA,90
Archer Daniels Midland Co.,Decatur,IL,35
Arent Fox LLP,Washington DC,DC,85
Arnold & Porter LLP,Washington DC,DC,90
Arrow Electronics,Melville,NY,15
ArvinMeritor Inc.,Troy,MI,15
Ashland Inc.,Covington,KY,15
Assurant,New York,NY,80
Astellas Pharma US Inc.,Deerfield,IL,55
AstraZeneca PLC,Wilmington,DE,60
AT&T Inc.,Dallas,TX,100
Atmos Energy Corp.,Dallas,TX,30
AutoNation Inc.,Fort Lauderdale,FL,15
AutoZone Inc.,Memphis,TN,15
Avaya Inc.,Basking Ridge,NJ,80
Avery Dennison,Pasadena,CA,15
Avis Budget Group Inc.,Parsippany,NJ,60
Avnet Inc.,Phoenix,AZ,50
Avon Products Inc.,New York,NY,100
B J's Wholesale Club,Westborough,MA,15
Bain & Co. Inc.,Boston,MA,100
Baker & Daniels LLP,Indianapolis,IN,90
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,90
Baker Hughes Inc.,Houston,TX,15
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,85
Baldor Electric Co.,Fort Smith,AR,25
Ball Corp.,Broomfield,CO,40
Ballard Spahr LLP,Philadelphia,PA,90
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp. The,New York,NY,100
Barclays Capital,New York,NY,100
Barnes & Noble Inc.,New York,NY,100
BASF Corp.,Florham Park,NJ,90
Bausch & Lomb Inc.,Rochester,NY,85
Baxter International Inc.,Deerfield,IL,60
Bayer Corp.,Pittsburgh,PA,90
BB&T Corp.,Winston-Salem,NC,70
Becton Dickinson and Co.,Franklin Lakes,NJ,30
Bed Bath & Beyond Inc.,Union,NJ,30
Berkshire Hathaway Inc.,Omaha,NE,15
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,15
Bingham McCutchen LLP,Boston,MA,100
Biogen Idec Inc.,Cambridge,MA,15
BlackRock,New York,NY,75
Blockbuster Inc.,Dallas,TX,20
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Durham,NC,60
BMC Software Inc.,Houston,TX,80
BMO Bankcorp Inc.,Chicago,IL,100
BNP Paribas,New York,NY,85
Boehringer Ingelheim USA Corp.,Ridgefield,CT,90
Boeing Co.,Chicago,IL,85
Bon-Ton Stores Inc.,York,PA,90
Booz Allen Hamilton Inc.,McLean,VA,100
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Natick,MA,65
BP America Inc.,Houston,TX,85
Bracewell & Giuliani,Houston,TX,60
Bridgestone Americas Holding Inc.,Nashville,TN,70
Bright Horizons Family Solutions Inc.,Watertown,MA,90
Brinker International Inc.,Dallas,TX,60
Bristol-Myers Squibb Co.,New York,NY,100
Broadcom Corp.,Irvine,CA,15
Broadridge Financial Solutions Inc.,Lake Success,NY,90
Brown Rudnick LLP,Boston,MA,100
Brown Shoe Company Inc.,St. Louis,MO,45
Brown-Forman Corp.,Louisville,KY,100
Bryan Cave LLP,St. Louis,MO,100
Burger King Corp.,Miami,FL,55
Burlington Northern Santa Fe Corp.,Fort Worth,TX,20
C&S Wholesale Grocers Inc.,Keene,NH,30
C. H. Robinson Worldwide,Eden Prairie,MN,15
CA Inc.,Islandia,NY,80
Cablevision Systems Corp.,Bethpage,NY,15
Cadwalader Wickersham & Taft LLP,New York,NY,85
Caesars Entertainment Corp.,Las Vegas,NV,100
Calpine Corp.,Houston,TX,40
Cameron International Corp.,Houston,TX,0
Campbell Soup Co.,Camden,NJ,100
Canadian Imperial Bank of Commerce,New York,NY,70
Capgemini U.S. LLC,New York,NY,50
Capital One Financial Corp.,McLean,VA,100
Cardinal Health Inc.,Dublin,OH,100
CareFusion Corp.,San Diego,CA,90
Cargill Inc.,Wayzata,MN,100
Carlson Companies Inc.,Minnetonka,MN,85
Carlton Fields PA,Tampa,FL,100
CarMax Inc.,Richmond,VA,85
Casey's General Stores Inc.,Ankeny,IA,0
Caterpillar Inc.,Peoria,IL,70
CB Richard Ellis Group Inc.,Los Angeles,CA,85
CBS Corp.,New York,NY,90
CC Media Holdings Inc. (Clear Channel),San Antonio,TX,75
CDW Corp.,Vernon Hills,IL,90
Celanese Corp.,Dallas,TX,15
Centene Corp.,St. Louis,MO,0
CenterPoint Energy Inc.,Houston,TX,15
CenturyLink Inc.,Monroe,LA,50
Cerner Corp.,North Kansas City,MO,70
CH2M HILL Companies Ltd.,Englewood,CO,85
Chadbourne & Parke LLP,New York,NY,90
Chamberlin Edmonds & Associates Inc.,Atlanta,GA,40
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab Corp. The,San Francisco,CA,100
Charter Communications,St. Louis,MO,15
Chesapeake Energy Corp.,Oklahoma City,OK,15
Chevron Corp.,San Ramon,CA,100
Chipotle Mexican Grill Inc.,Denver,CO,75
Choate Hall & Stewart LLP,Boston,MA,100
Choice Hotels International Inc.,Silver Spring,MD,100
Chrysler LLC,Auburn Hills,MI,100
CHS Inc.,Inver Grove Heights,MN,0
Chubb Corp.,Warren,NJ,100
CIGNA Corp.,Bloomfield,CT,90
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,15
Citigroup Inc.,New York,NY,100
Classified Ventures LLC,Chicago,IL,80
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,90
Clifford Chance US LLP,New York,NY,100
Clorox Co.,Oakland,CA,100
CMS Energy Services,Jackson,MI,15
CNA Insurance,Chicago,IL,85
CNO Financial Group Inc.,Carmel,IN,15
Coca-Cola Co. The,Atlanta,GA,75
Coca-Cola Enterprises Inc.,Atlanta,GA,90
Colgate-Palmolive Co.,New York,NY,85
Comcast Corp.,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,95
Commercial Metals,Irving,TX,0
Community Health Systems Inc.,Franklin,TN,15
Compass Bancshares Inc. (BBVA Compass),Birmingham,AL,55
Compass Group USA Inc.,Charlotte,NC,35
Computer Sciences Corp. (CSC),Falls Church,VA,35
Compuware Corp.,Detroit,MI,70
ConAgra Foods Inc.,Omaha,NE,75
ConocoPhillips,Houston,TX,55
Consol Energy,Canonsburg,PA,15
Consolidated Edison Co.,New York,NY,90
Constellation Energy Group Inc.,Baltimore,MD,90
Convergys Corp.,Cincinnati,OH,45
Con-way Inc.,San Mateo,CA,15
Cooper Tire & Rubber Co.,Findlay,OH,25
Corbis Corp.,Seattle,WA,50
CoreLogic,Santa Ana,CA,75
Core-Mark Holding Company Inc.,South San Francisco,CA,0
Corning Inc.,Corning,NY,100
Costco Wholesale Corp.,Issaquah,WA,15
Coventry Health Care,Bethesda,MD,15
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,100
Cracker Barrel Old Country Store Inc.,Lebanon,TN,35
Cravath  Swaine & Moore LLP,New York,NY,90
Credit Suisse USA Inc.,New York,NY,100
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,35
CSX Corp.,Jacksonville,FL,85
Cummins Inc.,Columbus,IN,15
CUNA Mutual Insurance Group,Madison,WI,15
CVS Caremark Corp.,Woonsocket,RI,75
Dana Holding Corp.,Maumee,OH,15
Danaher Corp.,Washington DC,DC,15
Darden Restaurants Inc.,Orlando,FL,80
Davis Polk & Wardwell LLP,New York,NY,90
Davis Wright Tremaine LLP,Seattle,WA,75
DaVita Inc.,El Segundo,CA,40
Dean Foods Co.,Dallas,TX,15
Debevoise & Plimpton LLP,New York,NY,100
Deere & Co.,Moline,IL,60
Delhaize America Inc.,Salisbury,NC,100
Dell Inc.,Round Rock,TX,90
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,55
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,30
Dewey & LeBoeuf LLP,New York,NY,100
Diageo North America,Norwalk,CT,100
Dick's Sporting Goods Inc.,Coraopolis,PA,30
Dickstein Shapiro LLP,Washington DC,DC,100
Dillard's Inc.,Little Rock,AR,30
DIRECTV,El Segundo,CA,75
Discover Financial Services,Riverwoods,IL,45
DISH Network Corp.,Englewood,CO,0
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,30
Dollar General Corp.,Goodlettsville,TN,0
Dollar Thrifty Automotive Group Inc.,Tulsa,OK,80
Dollar Tree Stores Inc.,Chesapeake,VA,0
Dominion Resources Inc.,Richmond,VA,85
Domino's Pizza Inc.,Ann Arbor,MI,15
Domtar Corp.,Fort Mill,SC,15
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,New York,NY,30
Dow Chemical Co. The,Midland,MI,100
Dr Pepper Snapple Group Inc.,Plano,TX,60
Drinker Biddle & Reath LLP,Philadelphia,PA,100
DTE Energy Co.,Detroit,MI,80
Duane Morris LLP,Philadelphia,PA,45
Duke Energy Corp.,Charlotte,NC,85
Dun & Bradstreet Corp.,Short Hills,NJ,70
Dykema Gossett PLLC,Detroit,MI,70
E&J Gallo Winery,Modesto,CA,60
E*TRADE Financial Corp.,New York,NY,60
E. I. du Pont de Nemours and Co. (DuPont),Wilmington,DE,100
EarthLink,Atlanta,GA,60
Eastman Chemical Co.,Kingsport,TN,15
Eastman Kodak Co.,Rochester,NY,15
Eaton Corp.,Cleveland,OH,100
eBay Inc.,San Jose,CA,100
Ecolab Inc.,St. Paul,MN,90
Edison International,Rosemead,CA,30
Edwards Angell Palmer & Dodge LLP,Boston,MA,100
El Paso Corp.,Houston,TX,15
Electronic Arts Inc.,Redwood City,CA,100
Eli Lilly & Co.,Indianapolis,IN,100
EMC Corp.,Hopkinton,MA,100
EMCOR Group Inc.,Norwalk,CT,30
Emerson Electric Co.,St. Louis,MO,40
Enbridge Energy Partners,Houston,TX,15
Energy Future Holdings Corp.,Dallas,TX,15
Energy Transfer Partners  L.P.,Dallas,TX,0
Entergy Corp.,New Orleans,LA,90
Enterprise Holdings Inc.,St. Louis,MO,50
EOG Resources,Houston,TX,15
Epstein Becker & Green PC,New York,NY,100
Erie Insurance Group,Erie,PA,30
Ernst & Young LLP,New York,NY,100
Estée Lauder Companies Inc.,New York,NY,90
Esurance Inc.,San Francisco,CA,75
Excellus Health Plan Inc.,Rochester,NY,90
Exelon Corp.,Chicago,IL,100
Expedia Inc.,Bellevue,WA,80
Express Scripts Inc.,St. Louis,MO,15
Exxon Mobil Corp.,Irving,TX,-25
Faegre & Benson LLP,Minneapolis,MN,100
Family Dollar Stores,Matthews,NC,30
Federal Home Loan Mortgage Corp. (Freddie Mac),McLean,VA,80
Federal National Mortgage Association (Fannie Mae),Washington DC,DC,80
Federal Reserve Bank of Boston,Boston,MA,80
FedEx Corp.,Memphis,TN,75
Fenwick & West LLP,Mountain View,CA,100
Fidelity National Financial Corp.,Jacksonville,FL,30
Fifth Third Bancorp,Cincinnati,OH,15
Financial Industry Regulatory Authority Inc.,Washington DC,DC,65
"Finnegan Henderson Farabow	 Garrett & Dunner LLP",Washington DC,DC,90
First American Financial Corp.,Santa Ana,CA,30
First Data Corp.,Atlanta,GA,15
First Horizon National Corp.,Memphis,TN,85
FirstEnergy Corp.,Akron,OH,15
Fiserv Inc.,Brookfield,WI,60
Fish & Richardson PC,Boston,MA,100
Flowers Foods,Thomasville,GA,15
Fluor Corp.,Irving,TX,60
FMC Technologies Inc.,Houston,TX,15
Foley & Lardner LLP,Milwaukee,WI,90
Foley Hoag LLP,Boston,MA,85
